borough;numfloors;LAT;LONG;coordinates 
QN;10.0;40.7070568;-73.801000;40.7070568, -73.801000
MN;12.0;40.7513525;-73.985000;40.7513525, -73.985000
BX;7.0;40.8940661;-73.858500;40.8940661, -73.858500
QN;16.0;40.7326122;-73.866900;40.7326122, -73.866900
BX;7.0;40.8818725;-73.915700;40.8818725, -73.915700
QN;8.0;40.7460587;-73.920300;40.7460587, -73.920300
MN;7.0;40.7973461;-73.947500;40.7973461, -73.947500
MN;22.0;40.7500114;-73.975400;40.7500114, -73.975400
MN;22.0;40.7573282;-73.988500;40.7573282, -73.988500
MN;12.0;40.7501512;-73.995900;40.7501512, -73.995900
MN;8.0;40.7413488;-73.996200;40.7413488, -73.996200
MN;10.0;40.7458994;-74.007900;40.7458994, -74.007900
MN;34.0;40.7104644;-74.010500;40.7104644, -74.010500
QN;8.0;40.7598306;-73.823060;40.7598306, -73.823060
QN;20.0;40.7125701;-73.827680;40.7125701, -73.827680
QN;14.0;40.7623233;-73.832540;40.7623233, -73.832540
QN;12.0;40.7615548;-73.832560;40.7615548, -73.832560
BX;7.0;40.8996265;-73.853840;40.8996265, -73.853840
BX;7.0;40.8703706;-73.882490;40.8703706, -73.882490
BX;7.0;40.8611385;-73.894910;40.8611385, -73.894910
BK;24.0;40.6711955;-73.906060;40.6711955, -73.906060
BX;7.0;40.8218762;-73.912340;40.8218762, -73.912340
BX;8.0;40.8421568;-73.919650;40.8421568, -73.919650
QN;7.0;40.7576912;-73.924780;40.7576912, -73.924780
BX;20.0;40.8095351;-73.926860;40.8095351, -73.926860
QN;7.0;40.7388816;-73.929330;40.7388816, -73.929330
MN;20.0;40.8627676;-73.929390;40.8627676, -73.929390
MN;16.0;40.7988745;-73.931130;40.7988745, -73.931130
QN;10.0;40.7522765;-73.934820;40.7522765, -73.934820
QN;11.0;40.7543712;-73.935630;40.7543712, -73.935630
MN;7.0;40.8047652;-73.936860;40.8047652, -73.936860
BK;8.0;40.7180734;-73.938450;40.7180734, -73.938450
MN;7.0;40.7935706;-73.938940;40.7935706, -73.938940
MN;7.0;40.8088378;-73.940920;40.8088378, -73.940920
BK;11.0;40.6550897;-73.945190;40.6550897, -73.945190
MN;8.0;40.8342649;-73.946730;40.8342649, -73.946730
MN;8.0;40.7878167;-73.948190;40.7878167, -73.948190
MN;38.0;40.7826657;-73.950310;40.7826657, -73.950310
BK;7.0;40.674043;-73.952590;40.674043, -73.952590
MN;12.0;40.7910272;-73.952680;40.7910272, -73.952680
MN;8.0;40.818206;-73.954030;40.818206, -73.954030
MN;15.0;40.7888706;-73.954610;40.7888706, -73.954610
MN;7.0;40.7872816;-73.955030;40.7872816, -73.955030
BK;8.0;40.6939034;-73.957610;40.6939034, -73.957610
BK;8.0;40.6345177;-73.958480;40.6345177, -73.958480
MN;12.0;40.7612328;-73.959040;40.7612328, -73.959040
MN;15.0;40.8041914;-73.961430;40.8041914, -73.961430
MN;15.0;40.7699895;-73.961930;40.7699895, -73.961930
MN;14.0;40.765974;-73.962120;40.765974, -73.962120
MN;31.0;40.7622029;-73.962790;40.7622029, -73.962790
MN;37.0;40.7556762;-73.963530;40.7556762, -73.963530
MN;15.0;40.8010634;-73.964520;40.8010634, -73.964520
MN;8.0;40.7712228;-73.964850;40.7712228, -73.964850
MN;8.0;40.8041542;-73.965230;40.8041542, -73.965230
MN;31.0;40.7576559;-73.966070;40.7576559, -73.966070
MN;15.0;40.7688549;-73.967790;40.7688549, -73.967790
MN;8.0;40.7596661;-73.969740;40.7596661, -73.969740
BK;8.0;40.6934544;-73.970210;40.6934544, -73.970210
BK;9.0;40.6962872;-73.970930;40.6962872, -73.970930
BK;8.0;40.6278381;-73.971810;40.6278381, -73.971810
BK;23.0;40.5777209;-73.971860;40.5777209, -73.971860
MN;15.0;40.7933233;-73.975030;40.7933233, -73.975030
MN;7.0;40.7945038;-73.976030;40.7945038, -73.976030
MN;18.0;40.764707;-73.976510;40.764707, -73.976510
