BOROUGH,LATITUDE,LONGITUDE,NTA
MANHATTAN,40.78728,-73.974075,Upper West Side
BRONX,40.805087,-73.91553,Mott Haven-Port Morris
MANHATTAN,40.771811,-73.959478,Upper East Side-Carnegie Hill
BROOKLYN,40.65576,-73.944602,Prospect Lefferts Gardens-Wingate
MANHATTAN,40.760107,-73.974768,Midtown-Midtown South
MANHATTAN,40.750429,-73.9768,Murray Hill-Kips Bay
MANHATTAN,40.761405,-73.976222,Midtown-Midtown South
MANHATTAN,40.753024,-73.985411,Midtown-Midtown South
MANHATTAN,40.743024,-73.979499,Murray Hill-Kips Bay
QUEENS,40.593572,-73.753179,Far Rockaway-Bayswater
MANHATTAN,40.748715,-73.984806,Midtown-Midtown South
MANHATTAN,40.770607,-73.968367,Upper East Side-Carnegie Hill
MANHATTAN,40.742426,-73.978059,Murray Hill-Kips Bay
MANHATTAN,40.764613,-73.97024,Upper East Side-Carnegie Hill
BROOKLYN,40.694015,-73.991472,Brooklyn Heights-Cobble Hill
MANHATTAN,40.749051,-73.993814,Midtown-Midtown South
MANHATTAN,40.743228,-73.984132,Gramercy
MANHATTAN,40.779568,-73.979798,Upper West Side
MANHATTAN,40.764559,-73.977781,Midtown-Midtown South
MANHATTAN,40.802079,-73.936989,East Harlem North
MANHATTAN,40.769602,-73.96023,Lenox Hill-Roosevelt Island
QUEENS,40.756473,-73.855735,North Corona
MANHATTAN,40.705972,-74.005259,Battery Park City-Lower Manhattan
MANHATTAN,40.752544,-73.986462,Midtown-Midtown South
MANHATTAN,40.757477,-73.988294,Midtown-Midtown South
MANHATTAN,40.761038,-73.97728,Midtown-Midtown South
MANHATTAN,40.740136,-73.992021,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.754886,-73.964689,Turtle Bay-East Midtown
MANHATTAN,40.779252,-73.957094,Upper East Side-Carnegie Hill
QUEENS,40.728632,-73.868701,Rego Park
MANHATTAN,40.71187,-74.008217,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.719451,-74.006861,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.703312,-74.013038,Battery Park City-Lower Manhattan
MANHATTAN,40.75657,-73.984169,Midtown-Midtown South
MANHATTAN,40.713193,-73.999917,Chinatown
BRONX,40.850342,-73.864431,Pelham Parkway
BRONX,40.881144,-73.877444,Norwood
MANHATTAN,40.861686,-73.92446,Marble Hill-Inwood
MANHATTAN,40.754947,-73.966764,Turtle Bay-East Midtown
MANHATTAN,40.766993,-73.987531,Clinton
MANHATTAN,40.771583,-73.964936,Upper East Side-Carnegie Hill
MANHATTAN,40.742633,-73.990094,Hudson Yards-Chelsea-Flatiron-Union Square
BRONX,40.861793,-73.869411,Bronxdale
MANHATTAN,40.746974,-73.978992,Murray Hill-Kips Bay
MANHATTAN,40.772032,-73.961918,Upper East Side-Carnegie Hill
